GBD Cause,Parameter,Region,Country ISO3 Code,Sex,Year Start,Year End,Age Start,Age End,Parameter Value,Standard Error,Units,,authors,casedef,citation,country,country2,ct,dataend,datastart,dateabs,design,effective_sample_size,ignore,lab,ldi_id,ldi_id_updated_7july2011,oldestage,otherdef,overallseroprevalence,pmid,popdescription,poptype,se,sero,seroage_start,seron,seroncases_calculated,serontot,serototal,title,ve,youngestage
Varicella,prevalence data,"Latin America, Southern",ARG,all,2002,2002,30,34,0.987,-99,1,,"Dayan, G. H.
Panero, M. S.
Debbag, R., et al.",Lab or Epidemiological,"Dayan, G. H., M. S. Panero, et al. (2004). ""Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002."" J Clin Microbiol 42(12): 5698-704.",Argentina,,FALSE,09/31/2002,08/01/2002,11/08/2008,Cross Sectional,526,,,0.157669574,-0.049064673,49,ELISA,98.50%,15583301,"convenience sample of women visiting hospitals and health care centers providing prenatal screening and/or delivery facilities in four cities (Buenos Aires, Salta, Mendoza, & Rosario) & one rural area (Valle de Uco) throughout Argentina who submitted sera",Outpatient,,98.70%,30-34,526,519.162,"2,803",,"Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002",FALSE,15
Varicella,prevalence data,"Latin America, Southern",ARG,all,2002,2002,20,24,0.988,-99,1,,"Dayan, G. H.
Panero, M. S.
Debbag, R., et al.",Lab or Epidemiological,"Dayan, G. H., M. S. Panero, et al. (2004). ""Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002."" J Clin Microbiol 42(12): 5698-704.",Argentina,,FALSE,09/31/2002,08/01/2002,11/08/2008,Cross Sectional,602,,,0.157669574,-0.049064673,49,ELISA,98.50%,15583301,"convenience sample of women visiting hospitals and health care centers providing prenatal screening and/or delivery facilities in four cities (Buenos Aires, Salta, Mendoza, & Rosario) & one rural area (Valle de Uco) throughout Argentina who submitted sera",Outpatient,,98.80%,20-24,602,594.776,"2,803",,"Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002",FALSE,15
Varicella,prevalence data,"Latin America, Southern",ARG,all,2002,2002,25,49,1,-99,1,,"Dayan, G. H.
Panero, M. S.
Debbag, R., et al.",Lab or Epidemiological,"Dayan, G. H., M. S. Panero, et al. (2004). ""Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002."" J Clin Microbiol 42(12): 5698-704.",Argentina,,FALSE,09/31/2002,08/01/2002,11/08/2008,Cross Sectional,531,,,0.157669574,-0.049064673,49,ELISA,98.50%,15583301,"convenience sample of women visiting hospitals and health care centers providing prenatal screening and/or delivery facilities in four cities (Buenos Aires, Salta, Mendoza, & Rosario) & one rural area (Valle de Uco) throughout Argentina who submitted sera",Outpatient,,100.00%,25-49 yrs,531,531,"2,803",,"Varicella seroprevalence and molecular epidemiology of varicella-zoster virus in Argentina, 2002",FALSE,15
Varicella,prevalence data,Australasia,AUS,all,1997,1999,1,2,0.195,-99,1,,"Gidding, H. F.
MacIntyre, C. R.
Burgess, M. A.
Gilbert, G. L.",Lab or Epidemiological,"Gidding, H. F., C. R. MacIntyre, et al. (2003). ""The seroepidemiology and transmission dynamics of varicella in Australia."" Epidemiol Infect 131(3): 1085-9.",Australia,,FALSE,12/31/1999,01/01/1997,8/08/2008,Cross Sectional,138,,,1.22597466,0.866087886,49,ELISA,73%,14959774,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,19.50%,1-2 yrs,138,26.91,"2,027",,The seroepidemiology and transmission dynamics of varicella in Australia,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,2002,2002,1,2,0.224,-99,1,,"Gilbert, G. L.
Gidding, H. F.
Backhouse, J.
McIntyre, P. B.",Lab or Epidemiological,"Gilbert, G. L., H. F. Gidding, et al. (2005). ""Varicella seroprevalence and vaccine uptake in preschool children."" Med J Aust 182(1): 42.",Australia,,FALSE,2002,2002,11/08/2008,Cross Sectional,152,,,1.437129558,1.02479638,5,,39.50%,15651949,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,22.40%,1-<3 yrs,152,34.048,380,,Varicella seroprevalence and vaccine uptake in preschool children,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,1997,1999,3,4,0.335,-99,1,,"Gidding, H. F.
MacIntyre, C. R.
Burgess, M. A.
Gilbert, G. L.",Lab or Epidemiological,"Gidding, H. F., C. R. MacIntyre, et al. (2003). ""The seroepidemiology and transmission dynamics of varicella in Australia."" Epidemiol Infect 131(3): 1085-9.",Australia,,FALSE,12/31/1999,01/01/1997,8/08/2008,Cross Sectional,214,,,1.22597466,0.866087886,49,ELISA,73%,14959774,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,33.50%,3-4,214,71.69,"2,027",,The seroepidemiology and transmission dynamics of varicella in Australia,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,2002,2002,3,4,0.48,-99,1,,"Gilbert, G. L.
Gidding, H. F.
Backhouse, J.
McIntyre, P. B.",Lab or Epidemiological,"Gilbert, G. L., H. F. Gidding, et al. (2005). ""Varicella seroprevalence and vaccine uptake in preschool children."" Med J Aust 182(1): 42.",Australia,,FALSE,2002,2002,11/08/2008,Cross Sectional,152,,,1.437129558,1.02479638,5,,39.50%,15651949,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,48.00%,3-5,152,72.96,380,,Varicella seroprevalence and vaccine uptake in preschool children,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,2002,2002,5,5,0.566,-99,1,,"Gilbert, G. L.
Gidding, H. F.
Backhouse, J.
McIntyre, P. B.",Lab or Epidemiological,"Gilbert, G. L., H. F. Gidding, et al. (2005). ""Varicella seroprevalence and vaccine uptake in preschool children."" Med J Aust 182(1): 42.",Australia,,FALSE,2002,2002,11/08/2008,Cross Sectional,76,,,1.437129558,1.02479638,5,,39.50%,15651949,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,56.60%,5 yrs,76,43.016,380,,Varicella seroprevalence and vaccine uptake in preschool children,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,1997,1999,5,9,0.655,-99,1,,"Gidding, H. F.
MacIntyre, C. R.
Burgess, M. A.
Gilbert, G. L.",Lab or Epidemiological,"Gidding, H. F., C. R. MacIntyre, et al. (2003). ""The seroepidemiology and transmission dynamics of varicella in Australia."" Epidemiol Infect 131(3): 1085-9.",Australia,,FALSE,12/31/1999,01/01/1997,8/08/2008,Cross Sectional,403,,,1.22597466,0.866087886,49,ELISA,73%,14959774,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,65.50%,5-9,403,263.965,"2,027",,The seroepidemiology and transmission dynamics of varicella in Australia,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,1997,1999,10,14,0.825,-99,1,,"Gidding, H. F.
MacIntyre, C. R.
Burgess, M. A.
Gilbert, G. L.",Lab or Epidemiological,"Gidding, H. F., C. R. MacIntyre, et al. (2003). ""The seroepidemiology and transmission dynamics of varicella in Australia."" Epidemiol Infect 131(3): 1085-9.",Australia,,FALSE,12/31/1999,01/01/1997,8/08/2008,Cross Sectional,347,,,1.22597466,0.866087886,49,ELISA,73%,14959774,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,82.50%,10-14,347,286.275,"2,027",,The seroepidemiology and transmission dynamics of varicella in Australia,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,1997,1999,20,24,0.851,-99,1,,"Gidding, H. F.
MacIntyre, C. R.
Burgess, M. A.
Gilbert, G. L.",Lab or Epidemiological,"Gidding, H. F., C. R. MacIntyre, et al. (2003). ""The seroepidemiology and transmission dynamics of varicella in Australia."" Epidemiol Infect 131(3): 1085-9.",Australia,,FALSE,12/31/1999,01/01/1997,8/08/2008,Cross Sectional,265,,,1.22597466,0.866087886,49,ELISA,73%,14959774,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,85.10%,20-24,265,225.515,"2,027",,The seroepidemiology and transmission dynamics of varicella in Australia,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,1997,1999,15,19,0.86,-99,1,,"Gidding, H. F.
MacIntyre, C. R.
Burgess, M. A.
Gilbert, G. L.",Lab or Epidemiological,"Gidding, H. F., C. R. MacIntyre, et al. (2003). ""The seroepidemiology and transmission dynamics of varicella in Australia."" Epidemiol Infect 131(3): 1085-9.",Australia,,FALSE,12/31/1999,01/01/1997,8/08/2008,Cross Sectional,286,,,1.22597466,0.866087886,49,ELISA,73%,14959774,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,86.00%,15-19,286,245.96,"2,027",,The seroepidemiology and transmission dynamics of varicella in Australia,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,1998,1998,15,19,0.903,-99,1,,"O'Grady, K. A.
Merianos, A.
Patel, M.
Gilbert, L.",,"O'Grady, K. A., A. Merianos, et al. (2000). ""High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate."" Trop Med Int Health 5(10): 732-6.",Australia,,FALSE,10/31/1998,04/01/1998,28/07/2008,Cross Sectional,31,,,1.224261719,0.864619461,,,92%,11044268,women in and around Darwin (Northern Australia) attending antenatal clinics at a tertiary referral center and due for routine blood testing during the study period. Both aboriginal and women of other origin were included.,Rural,,90.30%,15-19 yrs,31,27.993,292,,High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate,FALSE,14
Varicella,prevalence data,Australasia,AUS,all,1998,1998,25,29,0.912,-99,1,,"O'Grady, K. A.
Merianos, A.
Patel, M.
Gilbert, L.",,"O'Grady, K. A., A. Merianos, et al. (2000). ""High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate."" Trop Med Int Health 5(10): 732-6.",Australia,,FALSE,10/31/1998,04/01/1998,28/07/2008,Cross Sectional,91,,,1.224261719,0.864619461,,,92%,11044268,women in and around Darwin (Northern Australia) attending antenatal clinics at a tertiary referral center and due for routine blood testing during the study period. Both aboriginal and women of other origin were included.,Rural,,91.20%,25-29 yrs,91,82.992,292,,High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate,FALSE,14
Varicella,prevalence data,Australasia,AUS,all,1997,1999,25,29,0.924,-99,1,,"Gidding, H. F.
MacIntyre, C. R.
Burgess, M. A.
Gilbert, G. L.",Lab or Epidemiological,"Gidding, H. F., C. R. MacIntyre, et al. (2003). ""The seroepidemiology and transmission dynamics of varicella in Australia."" Epidemiol Infect 131(3): 1085-9.",Australia,,FALSE,12/31/1999,01/01/1997,8/08/2008,Cross Sectional,195,,,1.22597466,0.866087886,49,ELISA,73%,14959774,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,92.40%,25-29,195,180.18,"2,027",,The seroepidemiology and transmission dynamics of varicella in Australia,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,1998,1998,20,24,0.95,-99,1,,"O'Grady, K. A.
Merianos, A.
Patel, M.
Gilbert, L.",,"O'Grady, K. A., A. Merianos, et al. (2000). ""High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate."" Trop Med Int Health 5(10): 732-6.",Australia,,FALSE,10/31/1998,04/01/1998,28/07/2008,Cross Sectional,80,,,1.224261719,0.864619461,,,92%,11044268,women in and around Darwin (Northern Australia) attending antenatal clinics at a tertiary referral center and due for routine blood testing during the study period. Both aboriginal and women of other origin were included.,Rural,,95%,20-24 yrs,80,76,292,,High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate,FALSE,14
Varicella,prevalence data,Australasia,AUS,all,1998,1998,30,34,0.967,-99,1,,"O'Grady, K. A.
Merianos, A.
Patel, M.
Gilbert, L.",,"O'Grady, K. A., A. Merianos, et al. (2000). ""High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate."" Trop Med Int Health 5(10): 732-6.",Australia,,FALSE,10/31/1998,04/01/1998,28/07/2008,Cross Sectional,60,,,1.224261719,0.864619461,,,92%,11044268,women in and around Darwin (Northern Australia) attending antenatal clinics at a tertiary referral center and due for routine blood testing during the study period. Both aboriginal and women of other origin were included.,Rural,,96.70%,30-34 yrs,60,58.02,292,,High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate,FALSE,14
Varicella,prevalence data,Australasia,AUS,all,1997,1999,40,49,0.973,-99,1,,"Gidding, H. F.
MacIntyre, C. R.
Burgess, M. A.
Gilbert, G. L.",Lab or Epidemiological,"Gidding, H. F., C. R. MacIntyre, et al. (2003). ""The seroepidemiology and transmission dynamics of varicella in Australia."" Epidemiol Infect 131(3): 1085-9.",Australia,,FALSE,12/31/1999,01/01/1997,8/08/2008,Cross Sectional,75,,,1.22597466,0.866087886,49,ELISA,73%,14959774,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,97.30%,40-49 yrs,75,72.975,"2,027",,The seroepidemiology and transmission dynamics of varicella in Australia,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,1997,1999,30,39,0.99,-99,1,,"Gidding, H. F.
MacIntyre, C. R.
Burgess, M. A.
Gilbert, G. L.",Lab or Epidemiological,"Gidding, H. F., C. R. MacIntyre, et al. (2003). ""The seroepidemiology and transmission dynamics of varicella in Australia."" Epidemiol Infect 131(3): 1085-9.",Australia,,FALSE,12/31/1999,01/01/1997,8/08/2008,Cross Sectional,104,,,1.22597466,0.866087886,49,ELISA,73%,14959774,sera were obtained from diagnostic laboratories throughout Australia,Outpatient,,99.00%,30-39,104,102.96,"2,027",,The seroepidemiology and transmission dynamics of varicella in Australia,FALSE,1
Varicella,prevalence data,Australasia,AUS,all,1998,1998,35,44,1,-99,1,,"O'Grady, K. A.
Merianos, A.
Patel, M.
Gilbert, L.",,"O'Grady, K. A., A. Merianos, et al. (2000). ""High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate."" Trop Med Int Health 5(10): 732-6.",Australia,,FALSE,10/31/1998,04/01/1998,28/07/2008,Cross Sectional,30,,,1.224261719,0.864619461,,,92%,11044268,women in and around Darwin (Northern Australia) attending antenatal clinics at a tertiary referral center and due for routine blood testing during the study period. Both aboriginal and women of other origin were included.,Rural,,100%,35+ yrs,30,30,292,,High seroprevalence of antibodies to varicella zoster virus in adult women in a tropical climate,FALSE,14
Varicella,prevalence data,Australasia,AUS,all,2002,2002,0,0,0.071428571,-99,1,,"Vally, H.
Dowse, G. K.
Eastwood, K.
Cameron, S.",Other,"Vally, H., G. K. Dowse, et al. (2007). ""An outbreak of chickenpox at a child care centre in Western Australia. Costs to the community and implications for vaccination policy."" Aust N Z J Public Health 31(2): 113-9.",Australia,,FALSE,07/18/2002,06/20/2002,30/07/2008,Outbreak,28,1,0.00%,1.437129558,1.02479638,5 yrs,parental recall of chickenpox illness,44,17461000,"ethnically diverse population of children attending a child care center attached to a tertiary education center in Perth, Western Australia",Urban,,2,0-1 yr,28,,211,0-5 yrs,An outbreak of chickenpox at a child care centre in Western Australia. Costs to the community and implications for vaccination policy,FALSE,0 yrs
Varicella,prevalence data,Australasia,AUS,all,2002,2002,1,1,0.055555556,-99,1,,"Vally, H.
Dowse, G. K.
Eastwood, K.
Cameron, S.",Other,"Vally, H., G. K. Dowse, et al. (2007). ""An outbreak of chickenpox at a child care centre in Western Australia. Costs to the community and implications for vaccination policy."" Aust N Z J Public Health 31(2): 113-9.",Australia,,FALSE,07/18/2002,06/20/2002,30/07/2008,Outbreak,54,1,0.00%,1.437129558,1.02479638,5 yrs,parental recall of chickenpox illness,44,17461000,"ethnically diverse population of children attending a child care center attached to a tertiary education center in Perth, Western Australia",Urban,,3,1-2 yrs,54,,211,0-5 yrs,An outbreak of chickenpox at a child care centre in Western Australia. Costs to the community and implications for vaccination policy,FALSE,0 yrs
Varicella,prevalence data,Australasia,AUS,all,1971,1995,35,39,0.001245847,-99,1,,"Chant, K. G.
Sullivan, E. A.
Burgess, M. A., et al.",Laboratory Confirmed,"Chant, K. G., E. A. Sullivan, et al. (1998). ""Varicella-zoster virus infection in Australia."" Aust N Z J Public Health 22(4): 413-8.",Australia,,FALSE,12/31/1995,01/01/1971,11/08/2008,Cross Sectional,2408,1,,0.782310826,0.53904038,,,180,9659764,varicella cases and hospitalizations were abstracted from datasets of routinely collected surveillance data from a variety of sources gathering information throughout Australia (see article for details),Other,,3,35+ yrs,2408,,"5,303",,Varicella-zoster virus infection in Australia,FALSE,
Varicella,prevalence data,Australasia,AUS,all,1971,1995,20,24,0.018867925,-99,1,,"Chant, K. G.
Sullivan, E. A.
Burgess, M. A., et al.",Laboratory Confirmed,"Chant, K. G., E. A. Sullivan, et al. (1998). ""Varicella-zoster virus infection in Australia."" Aust N Z J Public Health 22(4): 413-8.",Australia,,FALSE,12/31/1995,01/01/1971,11/08/2008,Cross Sectional,371,1,,0.782310826,0.53904038,,,180,9659764,varicella cases and hospitalizations were abstracted from datasets of routinely collected surveillance data from a variety of sources gathering information throughout Australia (see article for details),Other,,7,20-24,371,,"5,303",,Varicella-zoster virus infection in Australia,FALSE,
Varicella,prevalence data,Australasia,AUS,all,1971,1995,30,34,0.018567639,-99,1,,"Chant, K. G.
Sullivan, E. A.
Burgess, M. A., et al.",Laboratory Confirmed,"Chant, K. G., E. A. Sullivan, et al. (1998). ""Varicella-zoster virus infection in Australia."" Aust N Z J Public Health 22(4): 413-8.",Australia,,FALSE,12/31/1995,01/01/1971,11/08/2008,Cross Sectional,377,1,,0.782310826,0.53904038,,,180,9659764,varicella cases and hospitalizations were abstracted from datasets of routinely collected surveillance data from a variety of sources gathering information throughout Australia (see article for details),Other,,7,30-34,377,,"5,303",,Varicella-zoster virus infection in Australia,FALSE,
Varicella,prevalence data,Australasia,AUS,all,1971,1995,25,29,0.025396825,-99,1,,"Chant, K. G.
Sullivan, E. A.
Burgess, M. A., et al.",Laboratory Confirmed,"Chant, K. G., E. A. Sullivan, et al. (1998). ""Varicella-zoster virus infection in Australia."" Aust N Z J Public Health 22(4): 413-8.",Australia,,FALSE,12/31/1995,01/01/1971,11/08/2008,Cross Sectional,315,1,,0.782310826,0.53904038,,,180,9659764,varicella cases and hospitalizations were abstracted from datasets of routinely collected surveillance data from a variety of sources gathering information throughout Australia (see article for details),Other,,8,25-29,315,,"5,303",,Varicella-zoster virus infection in Australia,FALSE,
Varicella,prevalence data,Australasia,AUS,all,2002,2002,2,2,0.192982456,-99,1,,"Vally, H.
Dowse, G. K.
Eastwood, K.
Cameron, S.",Other,"Vally, H., G. K. Dowse, et al. (2007). ""An outbreak of chickenpox at a child care centre in Western Australia. Costs to the community and implications for vaccination policy."" Aust N Z J Public Health 31(2): 113-9.",Australia,,FALSE,07/18/2002,06/20/2002,30/07/2008,Outbreak,57,1,0.00%,1.437129558,1.02479638,5 yrs,parental recall of chickenpox illness,44,17461000,"ethnically diverse population of children attending a child care center attached to a tertiary education center in Perth, Western Australia",Urban,,11,2-3 yrs,57,,211,0-5 yrs,An outbreak of chickenpox at a child care centre in Western Australia. Costs to the community and implications for vaccination policy,FALSE,0 yrs
Varicella,prevalence data,Australasia,AUS,all,1971,1995,15,19,0.04047619,-99,1,,"Chant, K. G.
Sullivan, E. A.
Burgess, M. A., et al.",Laboratory Confirmed,"Chant, K. G., E. A. Sullivan, et al. (1998). ""Varicella-zoster virus infection in Australia."" Aust N Z J Public Health 22(4): 413-8.",Australia,,FALSE,12/31/1995,01/01/1971,11/08/2008,Cross Sectional,420,1,,0.782310826,0.53904038,,,180,9659764,varicella cases and hospitalizations were abstracted from datasets of routinely collected surveillance data from a variety of sources gathering information throughout Australia (see article for details),Other,,17,15-19,420,,"5,303",,Varicella-zoster virus infection in Australia,FALSE,
